latitude,longitude,district,elevation,slope,aspect,month,rainfall_daily,rainfall_7day,ndvi,soil_moisture,distance_to_road,land_cover,landslide
26.4826,92.8848,Tezpur,686.5,17.0,158.6,9,10.6,53.3,0.573,0.975,4612.2,forest,0
24.1792,91.1115,Agartala,918.3,20.4,304.4,5,0.0,0.0,0.48,0.268,991.3,urban,0
25.3309,90.2499,Tura,528.1,16.5,125.6,6,14.6,91.9,0.584,0.783,2133.3,urban,0
26.3562,94.2275,Jorhat,446.0,44.5,319.1,6,29.8,107.4,0.54,0.959,190.2,forest,1
24.8419,93.9928,Imphal,2574.2,12.7,113.3,8,27.9,209.1,0.452,0.581,1739.8,agriculture,1
25.1563,91.9871,Dawki,788.1,19.8,196.0,4,3.5,10.6,0.605,0.133,2375.9,forest,0
26.4001,91.6634,Guwahati,602.5,28.3,274.9,4,11.9,51.2,0.499,0.261,7490.2,urban,0
27.4038,95.288,Dibrugarh,1147.9,19.5,198.7,5,1.7,13.0,0.718,0.243,3741.3,forest,0
24.3309,91.2144,Agartala,1262.5,7.5,86.7,6,1.3,3.6,0.52,0.677,1103.1,water,0
25.6169,93.9163,Kohima,1261.7,8.7,262.4,6,13.7,44.0,0.6,0.808,2074.6,forest,0
23.8521,91.2514,Agartala,1248.4,25.9,126.6,10,2.5,16.6,0.519,0.26,8490.3,agriculture,0
25.8603,94.0435,Kohima,1595.5,25.5,269.6,6,15.1,47.1,0.645,0.753,730.2,water,0
25.351,90.4654,Tura,956.7,35.6,183.9,6,0.8,1.8,0.393,0.44,8376.6,agriculture,0
26.5233,92.4551,Tezpur,368.2,17.7,38.9,9,14.3,56.5,0.636,0.404,1320.6,agriculture,0
26.6737,94.3231,Jorhat,341.2,35.9,14.9,6,12.3,88.0,0.49,0.869,898.9,forest,0
26.174,91.856,Guwahati,1027.4,15.8,256.2,9,13.1,36.0,0.655,0.645,858.3,forest,0
24.778,91.7375,Dawki,714.9,14.4,237.0,7,4.9,26.0,0.683,1.0,112.2,agriculture,0
23.7357,92.6004,Aizawl,761.4,42.5,101.3,7,9.7,64.8,0.391,0.93,1424.4,water,0
23.6285,92.7042,Aizawl,418.5,13.7,161.7,7,12.7,50.7,0.498,0.626,10527.1,urban,0
25.5947,94.3499,Kohima,697.5,7.7,61.1,4,1.6,4.4,0.627,0.186,2172.7,forest,0
27.3828,95.184,Dibrugarh,180.1,28.9,45.4,7,21.8,96.8,0.649,0.957,676.2,water,0
26.8137,94.0371,Jorhat,419.6,12.0,14.5,6,9.5,27.4,0.556,0.401,105.1,forest,0
25.7577,91.756,Guwahati,334.5,15.6,336.7,8,42.5,257.8,0.684,0.485,7952.3,forest,0
24.6036,93.7674,Imphal,181.6,19.6,16.9,6,7.8,26.8,0.817,0.825,960.6,agriculture,0
27.8031,94.7419,Dibrugarh,1211.9,23.3,127.7,6,0.9,4.9,0.853,0.94,22.1,agriculture,0
25.9912,94.14,Kohima,138.4,14.5,258.3,7,41.9,158.0,0.843,0.872,3893.5,urban,0
24.7742,93.81,Imphal,711.5,19.1,308.8,6,3.2,8.9,0.748,0.723,8436.5,forest,0
23.7325,91.2026,Agartala,591.0,9.0,187.8,4,9.8,56.8,0.583,0.202,1028.5,agriculture,0
25.6335,94.078,Kohima,1407.0,2.5,321.8,6,14.3,108.3,0.602,0.748,981.4,forest,0
26.532,94.1403,Jorhat,1716.9,39.5,26.8,4,6.1,29.5,0.484,0.225,8324.5,agriculture,0
23.7118,91.2891,Agartala,1039.7,41.3,103.5,7,11.4,50.7,0.419,0.818,2171.9,water,0
